Name,RF NORWAY GVT BMK BID YLD 3M DISC - RED. YIELD
01/01/2003,5.957
01/02/2003,6.099
01/03/2003,5.563
01/04/2003,5.538
01/05/2003,5.248
01/06/2003,4.58
01/07/2003,3.577
01/08/2003,3.505
01/09/2003,2.894
01/10/2003,2.646
01/11/2003,2.74
01/12/2003,2.68
01/01/2004,2.229
01/02/2004,2.017
01/03/2004,1.722
01/04/2004,1.718
01/05/2004,1.773
01/06/2004,1.821
01/07/2004,1.884
01/08/2004,1.878
01/09/2004,1.847
01/10/2004,1.871
01/11/2004,1.866
01/12/2004,1.828
01/01/2005,1.792
01/02/2005,1.798
01/03/2005,1.699
01/04/2005,1.766
01/05/2005,1.755
01/06/2005,1.842
01/07/2005,2.263
01/08/2005,2.034
01/09/2005,2.381
01/10/2005,2.258
01/11/2005,2.233
01/12/2005,2.443
01/01/2006,2.416
01/02/2006,2.402
01/03/2006,2.529
01/04/2006,2.698
01/05/2006,2.723
01/06/2006,3.019
01/07/2006,2.943
01/08/2006,2.937
01/09/2006,3.216
01/10/2006,3.337
01/11/2006,3.484
01/12/2006,3.468
01/01/2007,3.841
01/02/2007,4.057
01/03/2007,4.204
01/04/2007,4.329
01/05/2007,4.283
01/06/2007,4.609
01/07/2007,4.579
01/08/2007,4.621
01/09/2007,4.875
01/10/2007,5.081
01/11/2007,5.207
01/12/2007,5.634
01/01/2008,4.945
01/02/2008,5.554
01/03/2008,5.392
01/04/2008,4.996
01/05/2008,5.691
01/06/2008,5.877
01/07/2008,5.969
01/08/2008,5.899
01/09/2008,6.036
01/10/2008,5.267
01/11/2008,5.612
01/12/2008,5.06
01/01/2009,2.771
01/02/2009,2.645
01/03/2009,2.275
01/04/2009,2.094
01/05/2009,2.118
01/06/2009,1.63
01/07/2009,1.473
01/08/2009,1.49
01/09/2009,1.557
01/10/2009,1.638
01/11/2009,1.733
01/12/2009,1.742
01/01/2010,2.003
01/02/2010,2.021
01/03/2010,1.975
01/04/2010,2.068
01/05/2010,2.222
01/06/2010,2.192
01/07/2010,2.343
01/08/2010,2.309
01/09/2010,2.207
01/10/2010,2.324
01/11/2010,2.178
01/12/2010,2.161
01/01/2011,2.231
01/02/2011,2.187
01/03/2011,2.13
01/04/2011,2.265
01/05/2011,2.29
01/06/2011,2.362
01/07/2011,2.399
01/08/2011,2.38
01/09/2011,2.283
01/10/2011,1.827
01/11/2011,2.269
01/12/2011,2.055
01/01/2012,1.302
01/02/2012,1.673
01/03/2012,1.712
01/04/2012,1.571
01/05/2012,1.6
01/06/2012,1.619
01/07/2012,1.574
01/08/2012,1.447
01/09/2012,1.513
01/10/2012,1.663
01/11/2012,1.62
01/12/2012,1.617
01/01/2013,1.524
01/02/2013,1.671
01/03/2013,1.674
01/04/2013,1.661
01/05/2013,1.611
01/06/2013,1.582
01/07/2013,1.53
01/08/2013,1.497
01/09/2013,1.633
01/10/2013,1.58
01/11/2013,1.602
01/12/2013,1.532
01/01/2014,1.347
01/02/2014,1.534
01/03/2014,1.551
01/04/2014,1.375
01/05/2014,1.388
01/06/2014,1.365
01/07/2014,1.243
01/08/2014,1.222
01/09/2014,1.286
01/10/2014,1.354
01/11/2014,1.412
01/12/2014,1.365
01/01/2015,1.115
01/02/2015,1.137
01/03/2015,1.117
01/04/2015,1.027
01/05/2015,1.274
01/06/2015,1.551
01/07/2015,0.969
01/08/2015,0.979
01/09/2015,1.044
01/10/2015,0.708
01/11/2015,0.821
01/12/2015,0.988
01/01/2016,0.666
01/02/2016,0.908
01/03/2016,0.789
01/04/2016,0.567
01/05/2016,0.594
01/06/2016,0.766
01/07/2016,0.663
01/08/2016,0.598
01/09/2016,0.684
01/10/2016,0.547
01/11/2016,0.541
01/12/2016,1.009
01/01/2017,0.586
01/02/2017,0.537
01/03/2017,0.549
01/04/2017,0.485
01/05/2017,0.561
01/06/2017,0.527
01/07/2017,0.415
01/08/2017,0.421
01/09/2017,0.456
01/10/2017,0.49
01/11/2017,0.43
01/12/2017,0.41
01/01/2018,0.815
01/02/2018,0.459
01/03/2018,0.496
01/04/2018,0.55
01/05/2018,0.633
01/06/2018,0.732
01/07/2018,0.661
01/08/2018,0.6
01/09/2018,0.628
01/10/2018,0.776
01/11/2018,0.881
01/12/2018,0.836
01/01/2019,0.894
01/02/2019,1.136
01/03/2019,1.521
01/04/2019,1.261
01/05/2019,1.158
01/06/2019,1.101
01/07/2019,1.316
01/08/2019,1.318
01/09/2019,1.309
01/10/2019,1.409
01/11/2019,1.42
01/12/2019,1.498
01/01/2020,1.078
01/02/2020,1.384
01/03/2020,1.521
01/04/2020,0.284
01/05/2020,0.274
01/06/2020,0.026
01/07/2020,0.083
01/08/2020,0.087
01/09/2020,0.062
01/10/2020,-0.047
01/11/2020,0.116
01/12/2020,0.135
01/01/2021,0.057
01/02/2021,0.148
01/03/2021,0.303
01/04/2021,0.403
01/05/2021,0.171
01/06/2021,0.169
01/07/2021,0.08
01/08/2021,0.044
01/09/2021,0.03
01/10/2021,0.19
01/11/2021,0.296
01/12/2021,0.58
01/01/2022,0.56
01/02/2022,0.643
01/03/2022,0.705
01/04/2022,0.767
01/05/2022,0.891
01/06/2022,1.286
01/07/2022,1.587
01/08/2022,1.745
01/09/2022,2.496
01/10/2022,2.397
01/11/2022,2.597
01/12/2022,2.815
01/01/2023,3.02
01/02/2023,3.024
01/03/2023,2.996
01/04/2023,3.159
01/05/2023,3.301
01/06/2023,3.484
01/07/2023,3.804
01/08/2023,4.1
01/09/2023,4.634
01/10/2023,4.174
01/11/2023,4.246
01/12/2023,4.267
29/12/2023,4.267
